‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
       192	0.02237952	-0.00435638	0.01078323	0.00852839	
       193	0.00047541	0.00369660	0.01207170	0.00627356	
       194	-0.00628909	0.00885051	0.01207170	-0.00177943	
       195	-0.00177943	0.01303806	0.00917263	-0.00371214	
       196	0.01142746	0.02205740	0.00691779	-0.00757757	
       197	0.01078323	0.01497078	0.00240812	-0.01015453	
       198	-0.01369784	0.01400442	-0.00210154	-0.00918817	
       199	-0.02271718	0.01174958	-0.00435638	-0.00725545	
       200	-0.02046234	0.00627356	-0.00886605	0.00111965	
       201	0.00079753	0.00273024	-0.00983241	0.00144177	
       202	0.02946614	-0.00983241	-0.01047664	-0.00145731	
       203	0.02399011	-0.04913095	-0.01240936	-0.00242366	
       204	0.02109104	-0.05589545	-0.01369784	-0.00628909	
       205	0.02463435	-0.05331850	-0.00983241	-0.00725545	
       206	0.02785555	-0.03721254	-0.00983241	-0.00306790	
       207	0.01915833	-0.01176512	-0.00274578	0.00047541	
       208	0.00015329	0.04299515	-0.00016883	-0.00177943	
       209	-0.01917386	0.09807755	0.00337448	-0.00403426	
       210	-0.01691903	0.02817766	0.00595144	-0.00049095	
       211	-0.02948168	0.00595144	0.00820627	-0.00016883	
       212	-0.02432777	0.00949475	0.01142746	-0.00435638	
       213	-0.01498631	0.00144177	0.01013899	-0.00789969	
       214	-0.01595267	0.02270164	0.00852839	-0.00274578	
       215	-0.01756327	0.02044680	0.00691779	-0.00016883	
       216	-0.01563055	0.00981687	0.00401872	0.00047541	
       217	-0.00918817	0.01239382	0.00434084	-0.00113519	
       218	-0.00983241	0.01368230	-0.00274578	-0.00435638	
       219	-0.00467850	0.00788415	-0.00500062	-0.00016883	
       220	0.00240812	0.00144177	-0.00918817	0.00305236	
       221	0.00820627	-0.00242366	-0.00918817	0.00144177	
       222	0.00562932	-0.00951029	-0.01273148	-0.00081307	
       223	0.00949475	-0.01047664	-0.01047664	0.00079753	
       224	0.00852839	-0.00854393	-0.01401996	0.00015329	
       225	0.01110534	-0.01112088	-0.00789969	0.00047541	
       226	0.00627356	0.00240812	-0.00693333	-0.00049095	
       227	0.00659567	0.00047541	-0.00274578	0.00240812	
       228	-0.00113519	0.01110534	0.00111965	0.00144177	
       229	0.00047541	-0.00242366	0.00369660	0.00176389	
       230	0.01432654	-0.00951029	0.00691779	-0.00403426	
       231	0.02656707	-0.01305360	0.00852839	-0.00403426	
       232	0.02721131	-0.02593837	0.01207170	-0.00403426	
       233	0.02302376	-0.03238075	0.01207170	-0.00693333	
       234	0.01142746	-0.01820751	0.00885051	-0.00532274	
       235	-0.00016883	-0.02464989	0.00627356	-0.00467850	
       236	-0.01949598	-0.02658261	0.00595144	-0.00500062	
       237	-0.01724115	-0.02110658	0.00208601	-0.00371214	
       238	-0.00628909	0.00530720	-0.00016883	-0.00113519	
       239	-0.03077016	0.04299515	-0.00564486	0.00305236	
       240	-0.03205863	0.03397581	-0.00725545	0.00498508	
       241	-0.01144300	0.02592283	-0.00951029	0.00369660	
       242	-0.00951029	0.01593713	-0.00983241	0.00434084	
       243	-0.00177943	0.00434084	-0.01273148	0.00595144	
       244	-0.00016883	-0.01240936	-0.01240936	0.00273024	
       245	0.00466296	-0.00789969	-0.01144300	0.00337448	
       246	-0.00049095	0.00949475	-0.00757757	0.00144177	
       247	-0.01112088	0.00885051	-0.00435638	-0.00274578	
       248	-0.01498631	-0.00467850	0.00273024	-0.00145731	
       249	-0.00983241	0.01271594	0.00434084	0.00208601	
       250	-0.00854393	0.00820627	0.00949475	0.00498508	
       251	-0.01176512	-0.00177943	0.00885051	0.00273024	
       252	-0.00467850	-0.00757757	0.01046111	-0.00081307	
       253	0.02978826	-0.01112088	0.01110534	0.00015329	
       254	0.02399011	-0.02046234	0.00981687	-0.00242366	
       255	0.02237952	-0.00886605	0.00852839	-0.00145731	
       256	0.02399011	0.00401872	0.00562932	-0.00016883	
       257	0.02431223	-0.00049095	0.00240812	-0.00274578	
       258	0.01819197	-0.00693333	-0.00049095	-0.00564486	
       259	0.01754773	-0.02722684	-0.00693333	-0.00339002	
       260	0.01271594	-0.02626049	-0.00789969	-0.00242366	
       261	-0.00145731	-0.01208724	-0.00822181	-0.00113519	
       262	-0.00822181	-0.00403426	-0.00854393	-0.00113519	
       263	-0.00242366	0.00111965	-0.01176512	-0.00274578	
       264	0.00434084	0.00627356	-0.01047664	-0.00049095	
       265	-0.00435638	0.00401872	-0.00854393	-0.00145731	
       266	0.01013899	0.00176389	-0.00564486	-0.00081307	
       267	0.03043250	-0.00049095	-0.00339002	-0.00403426	
       268	-0.00564486	0.00401872	0.00079753	-0.00210154	
       269	-0.01981810	0.00498508	0.00498508	0.00240812	
       270	-0.01015453	0.00723991	0.00627356	0.00144177	
       271	-0.01434208	0.02463435	0.01078323	-0.00500062	
       272	-0.00854393	0.00530720	0.00917263	0.00176389	
       273	-0.00789969	-0.00661121	0.00885051	0.00659567	
       274	-0.02368353	-0.01691903	0.00788415	0.01142746	
       275	-0.02142870	-0.01047664	0.00627356	0.00756203	
       276	-0.00886605	-0.00113519	0.00273024	0.00337448	
       277	-0.02626049	0.00079753	0.00176389	-0.00306790	
       278	-0.02915956	0.00530720	-0.00435638	-0.00016883	
       279	-0.02464989	0.01786985	-0.00371214	-0.00596698	
       280	-0.01820751	0.01722561	-0.00693333	0.00079753	
       281	0.02109104	0.02463435	-0.01208724	0.01110534	
       282	0.00434084	0.01078323	-0.01208724	0.01915833	
       283	-0.00371214	0.00530720	-0.01208724	0.01078323	
       284	0.00466296	0.03139886	-0.00983241	0.00079753	
       285	0.00530720	0.01336018	-0.00951029	-0.00467850	
       286	0.01432654	-0.00081307	-0.00306790	-0.00403426	
       287	0.02721131	-0.01369784	-0.00177943	-0.00242366	
       288	0.03139886	-0.00886605	0.00240812	-0.00210154	
       289	0.03172098	-0.01305360	0.00337448	-0.00339002	
       290	0.01754773	-0.00403426	0.00627356	0.00047541	
       291	-0.00822181	-0.00435638	0.00756203	-0.00177943	
       292	-0.01015453	-0.01112088	0.01078323	-0.00081307	
       293	0.00144177	-0.01659691	0.00949475	0.00595144	
       294	0.00530720	-0.01466419	0.01046111	0.00949475	
       295	-0.04590976	-0.00854393	0.00788415	0.00659567	
       296	-0.03431347	-0.00822181	0.00498508	0.00079753	
       297	0.01722561	-0.00789969	0.00434084	-0.00467850	
       298	0.00079753	-0.00983241	-0.00016883	-0.00371214	
       299	-0.01563055	-0.00467850	-0.00564486	-0.00725545	
       300	-0.00918817	0.00627356	-0.00564486	-0.00983241	
       301	-0.01885174	0.02302376	-0.00661121	-0.00789969	
       302	0.02527859	0.04621634	-0.00886605	-0.00789969	
       303	0.02205740	0.00949475	-0.01112088	-0.00500062	
       304	0.00530720	-0.02014022	-0.00854393	-0.00274578	
       305	0.00595144	-0.02432777	-0.01079876	-0.00210154	
       306	0.00949475	-0.03238075	-0.00757757	0.00240812	
       307	-0.00596698	-0.03205863	-0.00306790	0.00401872	
       308	-0.01337572	-0.01466419	0.00369660	0.00208601	
       309	-0.01047664	0.04170667	0.00337448	0.00208601	
       310	-0.00757757	0.07681767	0.00530720	0.00434084	
       311	0.00208601	0.05233661	0.00723991	0.00273024	
       312	-0.00918817	0.04589422	0.01046111	-0.00532274	
       313	-0.01079876	0.01819197	0.01174958	-0.00886605	
       314	-0.01047664	-0.01498631	0.01207170	-0.00693333	
       315	-0.01305360	-0.01981810	0.00756203	-0.00274578	
       316	-0.01112088	-0.01691903	0.00627356	-0.00049095	
       317	-0.01369784	-0.00371214	0.00562932	-0.00145731	
       318	-0.00757757	0.00111965	0.00144177	-0.00049095	
       319	0.01529289	-0.00951029	-0.00467850	-0.00403426	
       320	0.02753343	-0.01563055	-0.00532274	-0.00145731	
       321	0.02109104	-0.01724115	-0.00886605	-0.00339002	
       322	0.01271594	-0.01627479	-0.00693333	-0.00081307	
       323	0.00820627	-0.01240936	-0.00918817	-0.00113519	
       324	0.00981687	-0.00113519	-0.00886605	-0.00016883	
       325	0.00691779	0.03784124	-0.00725545	0.00079753	
       326	0.00788415	-0.00306790	-0.00532274	-0.00016883	
       327	0.00498508	-0.01820751	-0.00403426	0.00401872	
       328	-0.00306790	-0.02658261	0.00369660	0.00949475	
       329	-0.00564486	-0.01305360	0.00305236	0.01142746	
       330	-0.00886605	-0.01627479	0.00562932	0.00562932	
       331	-0.00210154	-0.00467850	0.00691779	0.00015329	
       332	-0.01401996	0.03880760	0.01078323	-0.00306790	
       333	-0.01724115	0.04267303	0.01078323	-0.00854393	
       334	-0.00789969	0.01658137	0.00627356	-0.00725545	
       335	-0.00081307	0.00208601	0.00562932	-0.00016883	
       336	-0.00049095	-0.00210154	0.00273024	-0.00081307	
       337	0.00562932	-0.00951029	0.00176389	-0.00274578	
       338	0.00788415	0.00111965	-0.00564486	-0.00371214	
       339	-0.00274578	-0.00177943	-0.00435638	-0.00113519	
       340	-0.01047664	-0.01659691	-0.00661121	-0.00049095	
       341	-0.01530843	0.00369660	-0.01176512	0.00305236	
       342	-0.00242366	0.00562932	-0.01305360	0.00208601	
       343	0.02141316	-0.02336141	-0.01434208	-0.00210154	
       344	0.00369660	-0.02014022	-0.01466419	0.00015329	
       345	-0.01208724	-0.00789969	-0.00822181	0.00079753	
       346	-0.01079876	0.01239382	-0.00500062	0.00305236	
       347	-0.00628909	0.01786985	-0.00306790	0.00176389	
       348	-0.00789969	-0.00918817	0.00047541	0.00208601	
       349	-0.00081307	-0.01949598	0.00434084	0.00047541	
       350	0.00337448	-0.03689042	0.00885051	-0.00049095	
       351	0.00723991	-0.02722684	0.00949475	-0.00113519	
       352	0.00852839	-0.02110658	0.01046111	-0.00113519	
       353	0.00434084	-0.00951029	0.01368230	0.00111965	
       354	0.00273024	-0.00596698	0.01336018	-0.00081307	
       355	0.00595144	-0.00049095	0.01013899	-0.00177943	
       356	0.00273024	0.01239382	0.00949475	-0.00339002	
       357	0.00047541	0.01851409	0.00337448	-0.00532274	
       358	0.00111965	0.00595144	-0.00049095	-0.00210154	
       359	0.00273024	0.00144177	-0.00210154	0.00240812	
       360	0.01400442	0.00079753	-0.00757757	0.00240812	
       361	0.01819197	-0.00113519	-0.00951029	0.00305236	
       362	0.02237952	-0.00596698	-0.00789969	0.00176389	
       363	0.02527859	-0.00789969	-0.00983241	0.00047541	
       364	0.00820627	-0.01563055	-0.01079876	0.00530720	
       365	-0.00918817	-0.00467850	-0.00628909	0.00208601	
       366	-0.02368353	0.00498508	-0.00467850	0.00111965	
       367	-0.01047664	-0.00177943	-0.00242366	-0.00016883	
       368	-0.00532274	-0.00467850	0.00015329	-0.00016883	
       369	-0.00532274	-0.01144300	0.00144177	-0.00016883	
